id;client_name;logo;logo_content_type;height;width;taken;uploaded;date_of_submittal;approval_status;registration_number;date_of_registration;date_of_expiry;approval_document;approval_document_content_type
1;Cheese;../fake-data/blob/hipster.png;image/png;9317;11161;2023-08-11T05:19:40;2023-08-11T05:54:04;2023-08-11T22:16:54;APPROVED;quod;2023-08-11T05:46:38;2023-08-11T16:30:10;../fake-data/blob/hipster.png;image/png
2;Toys Adventure Northeast;../fake-data/blob/hipster.png;image/png;4963;20431;2023-08-11T21:17:36;2023-08-11T21:29:01;2023-08-12T00:13:29;UNDER_REVIEW;Bicycle;2023-08-12T02:36:15;2023-08-11T05:56:23;../fake-data/blob/hipster.png;image/png
3;male;../fake-data/blob/hipster.png;image/png;8199;19800;2023-08-11T08:18:59;2023-08-11T06:38:59;2023-08-11T14:44:10;FINAL_APPROVAL_STAGE;Kia;2023-08-11T20:18:56;2023-08-11T11:52:54;../fake-data/blob/hipster.png;image/png
4;steradian;../fake-data/blob/hipster.png;image/png;21320;13454;2023-08-11T05:01:16;2023-08-11T16:55:17;2023-08-11T18:54:23;UNDER_REVIEW;Senior deposit;2023-08-11T15:42:28;2023-08-11T10:30:46;../fake-data/blob/hipster.png;image/png
5;Customer secondary green;../fake-data/blob/hipster.png;image/png;31658;26868;2023-08-11T07:08:45;2023-08-11T13:21:09;2023-08-12T00:38:57;SUBMITTED;Agent man;2023-08-11T03:08:07;2023-08-11T07:50:14;../fake-data/blob/hipster.png;image/png
6;parse;../fake-data/blob/hipster.png;image/png;30337;25205;2023-08-11T04:40:54;2023-08-11T08:42:14;2023-08-11T14:34:21;APPROVED;Wisconsin;2023-08-11T10:39:24;2023-08-11T15:36:51;../fake-data/blob/hipster.png;image/png
7;Mountain;../fake-data/blob/hipster.png;image/png;17858;3590;2023-08-11T10:53:31;2023-08-11T04:52:53;2023-08-11T12:09:47;NOT_VALID;Toys bluetooth;2023-08-11T09:40:30;2023-08-11T04:04:14;../fake-data/blob/hipster.png;image/png
8;or;../fake-data/blob/hipster.png;image/png;2500;26680;2023-08-11T03:46:45;2023-08-11T17:59:37;2023-08-11T13:29:32;NOT_VALID;Southeast Plastic;2023-08-11T10:25:03;2023-08-11T07:53:10;../fake-data/blob/hipster.png;image/png
9;Shirt;../fake-data/blob/hipster.png;image/png;12404;28340;2023-08-11T07:31:24;2023-08-11T20:47:48;2023-08-11T14:47:59;SUBMITTAL_UNDER_PREPARATION;pascal;2023-08-11T21:13:05;2023-08-11T07:16:56;../fake-data/blob/hipster.png;image/png
10;Savings to Northwest;../fake-data/blob/hipster.png;image/png;18742;6941;2023-08-11T19:04:35;2023-08-11T17:25:42;2023-08-11T22:18:31;UNDER_APPROVAL;a Fresh;2023-08-11T03:07:54;2023-08-11T23:08:20;../fake-data/blob/hipster.png;image/png
