id;document_type;organization_name;document_name;document_number;issue_date;expiry_date;document_status;upload_file;upload_file_content_type
1;ACCREDITATIONS;underneath Georgia Bicycle;application;Global beneath;2023-08-11T08:44:20;2023-08-11T06:12:24;EXPIRED;../fake-data/blob/hipster.png;image/png
2;QUALITY_CERTIFICATES;lime Northeast;synergize Sedan white;Home;2023-08-11T20:14:06;2023-08-11T06:21:36;STILL_VALID;../fake-data/blob/hipster.png;image/png
3;LEGAL_DOCUMENTS;Pass;Dominican Peso;Vermont;2023-08-11T04:31:10;2023-08-12T01:18:37;EXPIRED;../fake-data/blob/hipster.png;image/png
4;OTHERS;female;Tunisian ugh Northwest;hoot system;2023-08-11T13:06:47;2023-08-11T09:33:23;STILL_VALID;../fake-data/blob/hipster.png;image/png
5;LEGAL_DOCUMENTS;Pula Malagasy Corporate;Gloves Rolls;Pants son;2023-08-12T01:41:27;2023-08-12T02:09:57;EXPIRED;../fake-data/blob/hipster.png;image/png
6;QUALITY_CERTIFICATES;Account Denar;Hybrid Supervisor;Shoes aside;2023-08-11T14:21:14;2023-08-11T22:02:20;STILL_VALID;../fake-data/blob/hipster.png;image/png
7;VENDOR_APPROVALS;Osmium embrace;secured;farad access;2023-08-11T16:26:35;2023-08-12T02:07:36;STILL_VALID;../fake-data/blob/hipster.png;image/png
8;OTHERS;negative Wooden Sterling;female payment Gasoline;apropos Gender;2023-08-11T04:56:30;2023-08-11T22:08:13;STILL_VALID;../fake-data/blob/hipster.png;image/png
9;LEGAL_DOCUMENTS;even Crew;Bicycle Principal;debitis;2023-08-11T17:08:09;2023-08-11T18:45:22;EXPIRED;../fake-data/blob/hipster.png;image/png
10;VENDOR_APPROVALS;Iraq;North;desert Hat Cambridgeshire;2023-08-11T08:35:08;2023-08-11T07:51:54;EXPIRED;../fake-data/blob/hipster.png;image/png
