id;ref_contract_po_number;feed_back_category;comment;vendors_name_id;product_name_id
1;harness Meadow impish;COMPLAIN;../fake-data/blob/hipster.txt;1;1
2;West Rubber volt;COMPLAIN;../fake-data/blob/hipster.txt;2;2
3;an Tuna;COMPLAIN;../fake-data/blob/hipster.txt;3;3
4;inflame Bicycle Soft;COMPLAIN;../fake-data/blob/hipster.txt;4;4
5;Supervisor Kina frictionless;COMPLAIN;../fake-data/blob/hipster.txt;5;5
6;Kia South;ADVICE;../fake-data/blob/hipster.txt;6;6
7;neural queasily;COMPLAIN;../fake-data/blob/hipster.txt;7;7
8;Iridium;COMPLAIN;../fake-data/blob/hipster.txt;8;8
9;Savings;ADVICE;../fake-data/blob/hipster.txt;9;9
10;Franc Southeast consequently;COMPLAIN;../fake-data/blob/hipster.txt;10;10
