id;assessment_date;assessed_by;job_knowledge;job_knowledge_comment;work_quality;work_quality_comment;attendance_punctuality;attendance_punctuality_comment;initiative;initiative_comment;communication_listening_skills;communication_listening_skills_comment;dependability;dependability_comment;vendors_name_id
1;2023-08-03T02:46:06;female cuddly Creative;EXCELLENT;../fake-data/blob/hipster.txt;FAIR;../fake-data/blob/hipster.txt;POOR;../fake-data/blob/hipster.txt;GOOD;../fake-data/blob/hipster.txt;GOOD;../fake-data/blob/hipster.txt;GOOD;../fake-data/blob/hipster.txt;1
2;2023-08-04T00:13:16;Metal Electric;POOR;../fake-data/blob/hipster.txt;POOR;../fake-data/blob/hipster.txt;FAIR;../fake-data/blob/hipster.txt;GOOD;../fake-data/blob/hipster.txt;POOR;../fake-data/blob/hipster.txt;POOR;../fake-data/blob/hipster.txt;2
3;2023-08-03T07:37:08;unleash Kiribati asymmetric;SATISFACTORY;../fake-data/blob/hipster.txt;GOOD;../fake-data/blob/hipster.txt;GOOD;../fake-data/blob/hipster.txt;SATISFACTORY;../fake-data/blob/hipster.txt;GOOD;../fake-data/blob/hipster.txt;EXCELLENT;../fake-data/blob/hipster.txt;3
4;2023-08-03T21:13:44;female redefine;SATISFACTORY;../fake-data/blob/hipster.txt;SATISFACTORY;../fake-data/blob/hipster.txt;GOOD;../fake-data/blob/hipster.txt;POOR;../fake-data/blob/hipster.txt;FAIR;../fake-data/blob/hipster.txt;EXCELLENT;../fake-data/blob/hipster.txt;4
5;2023-08-03T18:20:14;Bicycle;POOR;../fake-data/blob/hipster.txt;EXCELLENT;../fake-data/blob/hipster.txt;POOR;../fake-data/blob/hipster.txt;EXCELLENT;../fake-data/blob/hipster.txt;EXCELLENT;../fake-data/blob/hipster.txt;SATISFACTORY;../fake-data/blob/hipster.txt;5
6;2023-08-03T07:46:59;Universal furthermore;GOOD;../fake-data/blob/hipster.txt;SATISFACTORY;../fake-data/blob/hipster.txt;POOR;../fake-data/blob/hipster.txt;SATISFACTORY;../fake-data/blob/hipster.txt;EXCELLENT;../fake-data/blob/hipster.txt;EXCELLENT;../fake-data/blob/hipster.txt;6
7;2023-08-03T08:54:40;haptic but Bigender;SATISFACTORY;../fake-data/blob/hipster.txt;FAIR;../fake-data/blob/hipster.txt;POOR;../fake-data/blob/hipster.txt;FAIR;../fake-data/blob/hipster.txt;GOOD;../fake-data/blob/hipster.txt;FAIR;../fake-data/blob/hipster.txt;7
8;2023-08-03T14:39:55;Customer Handmade;FAIR;../fake-data/blob/hipster.txt;SATISFACTORY;../fake-data/blob/hipster.txt;FAIR;../fake-data/blob/hipster.txt;POOR;../fake-data/blob/hipster.txt;GOOD;../fake-data/blob/hipster.txt;EXCELLENT;../fake-data/blob/hipster.txt;8
9;2023-08-03T15:11:51;Sleek Reduced;SATISFACTORY;../fake-data/blob/hipster.txt;EXCELLENT;../fake-data/blob/hipster.txt;SATISFACTORY;../fake-data/blob/hipster.txt;GOOD;../fake-data/blob/hipster.txt;POOR;../fake-data/blob/hipster.txt;GOOD;../fake-data/blob/hipster.txt;9
10;2023-08-03T22:17:18;value gesture sequi;SATISFACTORY;../fake-data/blob/hipster.txt;SATISFACTORY;../fake-data/blob/hipster.txt;POOR;../fake-data/blob/hipster.txt;SATISFACTORY;../fake-data/blob/hipster.txt;FAIR;../fake-data/blob/hipster.txt;GOOD;../fake-data/blob/hipster.txt;10
